#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
108	إتعاب		تعب		مصدر	أتعب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتعاب-إتعاب [ت ع ب ] (مص. أتعب). 1.""لا يحب إتعاب الناس"" : إرهاقهم. 2.""إتعاب النفس"" : تحميلها ما يرهقها. 3.""إتعاب جمهور الحاضرين"" : إزعاجهم."
109	اتعاظ		وعظ		مصدر	اتعظ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								اتعاظ-اتعاظ [وع ظ] (مص. اتعظ). 
110	اتفاق		وفق		مصدر	اتفق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"(مص. اتفق). 1.""حصل اتفاق بينهما"" : تعاقد في أمر ما، ما بين فريقين أو شخصين أو أكثر. ""اتفاق "
111	اتقاد		وقد		مصدر	اتقد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتقاد-اتقاد [و ق د] (مص. اتقد). 1. ""اتقاد النيران"": اشتعالها. 2. ""أفقد اتقاد الغضب رشده"" : فوران الغضب واشتعاله."
112	إتقان		وقن		مصدر	أتقن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتقان-إتقان [و ق ن] (مص. أتقن). ""صانع ينجز أعماله بإتقان"" : بإحكام، بضبط ."
113	اتقاء		وقي		مصدر	اتقى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"اتقاء-اتقاء [و ق ي] (مص. اتقى). ""حاول اتقاء شره"": تجنب شره."
114	اتكاء		وكأ		مصدر	اتكأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"اتكاء-اتكاء [و ك أ] (مص. اتكأ). 1.""وجده في لحظة اتكاء على المخ"
115	اتكال		وكل		مصدر	اتكل		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"اتكال-اتكال [و ك ل] (مص. اتكل). 1.""الاتكال على الله"": الاستسلام إليه. 2.""ليس من عادته الاتكال على غير نفسه"" : الاعتماد."
116	إتلاف		تلف		مصدر	أتلف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتلاف-إتلاف [ت ل ف] (مص. أتلف). 1.""إتلاف الزرع"": إهلاكه، إفساده. 2.""إتلاف المال"" : صرفه من دون فائدة."
117	إتمام		تمم		مصدر	أتم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتمام-إتمام [ت م. م] (مص. أتم). 1.""إتمام العمل"" : إنجازه، إكماله. 2.""يحرص على إتمام الدرس في موعده"" : على إنهائه. 3.""إتمام القمر"" : اكتماله، وتمامه."
118	اتهام		تهم،وهم		مصدر	اتهم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اتهام-اتهام [ت هـ م، و هـ م] (مص. اتهم). ""برأ نفسه من الاتهام الموجه إليه"" : ما ينسب للشخص من تهمة من جراء اعتد"
119	مؤاتاة		أتي		مصدر	آتى		مؤنث			مفرد	+ات			DnN	Pf			Tn									"مؤاتاة-مؤاتاة [أ ت ي] (مص. آتى). ""كان ينتظر مؤاتاته"" : مواتاته، موافقته."
120	إتيان		أتي		مصدر	أتى		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إتيان-إتيان [أ ت ي] (مص. أتى). 1.""الإتيان في الموعد"": المجيء، الحضور. 2.""الإتيان بالعمل كما يجب"" : القيام به. 3.""وجد في البناء إتيانا محكما"" : صرحا. 4.""إتيان المحبة"": ظهورها، بروزها. 5.""الإتيان على الأخضر واليابس"": الإتلاف، بلوغ آخره. 6.""إتيان الدهر عليه"" : إهلاكه. 7.""الإتيان على البنيان"" : هدمه، تدميره."
121	إثابة		ثوب		مصدر	أثاب		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إثابة-إثابة [ث و ب] (مص. أثاب). ""إثابة المؤمن"" : مجازاته."
122	إثارة		ثور		مصدر	أثار		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إثارة-إثارة [ث و ر] (مص. أثار). 1.""إثارة الغضب"" : الدفع بالمرء إلى الغضب. 2.""إثارة الاهتمام"" : جلب ال"
123	إثبات		ثبت		مصدر	أثبت		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إثبات-إثبات [ث ب ت] (مص. أثبت). 1.""قدم إثباتا بشهادته"" : تأكيدا، دليلا. ""مع أنهم لم يقطعوا في الأمر بإثبات ولا بنفي"". (المختار السوسي). 2.""شاهد إثبات"" : من يشهد ضد المتهم. ""لم تستطع المحكمة إثبات ما اتهموا به"". (سلامة موسى)."
124	إثخان		ثخن		مصدر	أثخن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إثخان-إثخان [ث خ ن] (مص. أثخن). 1.""إثخان العدو"": المبالغة في قتله. 2.""أثخنته الجراح إثخانا"" : أوهنته. أضعفته إضعافا. 3.""سعى إلى إثخانه بالضرب"" : ضربه ضربا مبرحا."
125	إيثار		أثر		مصدر	آثر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إيثار-إيثار [أ ث ر] (مص. آثر). ""عرف بإيثاره"" : بمحبته للغير وتفضيلهم على نفسه."
126	تأثير		أثر		مصدر	أثر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تأثير-تأثير [أ ث ر] (مص. أثر). 1.""أحدث تأثيرا بالغا في نفوس الحاضرين"" : أحدث وقعا. ""كأنها تريد أن تخترق بعينيها لترى تأثير كلامها في عواطفي"".(جبران خ. جبران) 2. ""لم يكن يهدف إلى التأثير عليه"" : إخضاعه لمفعول ما."
127	إثراء		أثر		مصدر	أثرى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إثراء-إثراء [أ ث ر] (مص. أثرى). ""الإثراء الفاحش"" : الغنى الفاحش، أي كثرة المال."
128	تأثيف		أثف		مصدر	أثف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تأثيف-تأثيف [أ ث ف] (مص. أثف). "" تأثيف القدر"" : جعلها على الأثافي."
129	إثقال		ثقل		مصدر	أثقل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إثقال-إثقال [ث ق ل] (مص. أثقل). 1.""إثقال الحمل"": تحميله ثقيلا. 2.""وجد في الديون الجديدة إثقالا"" : إرهاقا. 3.""إثقال الحامل"" : استبانة حملها."
130	إثلاث		ثلث		مصدر	أثلث		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إثلاث-إثلاث [ث ل ث] (مص. أثلث). 1.""إثلاث القوم"": انقسامهم إلى ثلاث فرق. 2.""إثلاث القوم"" : صيرهم ثلاثين."
131	إثلاج		ثلج		مصدر	أثلج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إثلاج-إثلاج [ث ل ج] (مص. أثلج). 1.""إثلاج الجبل"" : أي سقوط الثلج عل"
132	إثم		اثم		مصدر	أثم		مذكر			مفرد	آثام			DnN				Tn	R								"(مص. أثم). ""لم يرتكب إثما في حياته"": لم يرتكب خطيئة، ذنبا.المائدة آية 2 وتعاونوا على البر والتقوى ولا تعاونوا على الإثم والعدوان (قرآن) ."
133	آثام		اثم		مصدر	أثم		مؤنث			جمع		إثم						Tn									
134	إثمار		ثمر		مصدر	أثمر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إثمار-إثمار [ث م ر] (مص. أثمر). ""إثمار الج"
135	أجيج		أجج		مصدر	أج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"أجيج-أجيج [أ ج ج] (مص. أج). 1.""أجيج النار"": توهجها. 2.""وكان أجيج الحر قد أنهك قواه"" : شدة الحر. 3.""بدأت أسمع أجيج القوم من بعيد"" : اختلاط كلامهم مع حفيف مشيهم. 4.""أجيج الماء"" : صوت انصباب الماء."
136	إجادة		جود		مصدر	أجاد		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إجادة-إجادة [ج و د] (مص. أجاد). ""إجادة العمل"" : إتقانه الإلمام. ""إجادة اللغات الأجنبية""."
137	إجارة		أجر		مصدر	أجار		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إجارة-إجارة [أ ج ر] (مص. أجار). 1.""قدم له إجارته"" : ما يعطى للأجير جزاء عمله، الأجرة. 2.""اتفق معه على إجارة بيت في الطابق الثالث"" : كراء."
138	إجازة		جوز		مصدر	أجاز		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إجازة-إجازة [ج و ز] (مص. أجاز). 1.""نال الموظف إجازة"": ترخيصا إذنا. 2.""هو في إجازة مرضية"" : في رخصة. 3.""إجازة الصيف"" : عطلة، راحة. ""قضى إجازة فوق شاطئ البحر"" (أمل دنقل). 4.""حصل على شهادة الإجازة"" : شهادة اللسانس (نهاية الدروس الجامعية العادية)."
139	إجاعة		جوع		مصدر	أجاع		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إجاعة-إجاعة [ج و ع] (مص. أجاع). ""ما الذي يدفعه إلى إجاعة خادمه"": منع الطعام عنه."
140	إجالة		جول		مصدر	أجال		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"إجالة-إجالة [ج و ل] (مص. أجال). 1.""إجالة النظر في اللوحة"" : تقليب النظر فيها، إمعان النظر فيها. 2.""إجالة السهم"" : جعله يجول."
141	إجبار		جبر		مصدر	أجبر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجبار-إجبار [ج ب ر] (مص. أجبر). ""لا يسعى إلى إجبار أحد على ما ليس"
142	اجتياح		جيح		مصدر	اجتاح		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"اجتياح-اجتياح [ج ي ح] (مص. اجتاح). ""اجتياح العدو لحدود البلاد"" : دخولها غصبا وقهرا، اكتساحها. ""وقف الشعب صامدا ضد اجتياح قوات الغزو""."
143	اجتياز		جوز		مصدر	اجتاز		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اجتياز-اجتياز [ج و ز] (مص. اجتاز). 1.""اجتياز المسالك"": سلوكها، قطعها. 2.""اجتياز الامتحان"" : التقدم إلى الامتحان والاختبار فيه. 3.""اجتياز السفينة للمضيق"" : عبورها. 4.""اجتياز الحدود"" : تخطيها، تجاوزها، المرور بها."
144	اجتثاث		جثث		مصدر	اجتث		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"اجتثاث-اجتثاث [ج ث ث] (مص. اجتث). 1.""اجتثاث الشجرة"" : اقتلاعها م"
145	اجتذاب		جذب		مصدر	اجتذب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اجتذاب-اجتذاب [ج ذ ب] (مص. اجتذب) ""اجتذاب الأنظار"" : جذبها."
146	اجترار		جرر		مصدر	اجتر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اجترار-اجترار [ج ر ر] (مص. اجتر). 1.""لم تتوقف البقرة عن الاجترار"" : إعادة ما في بطنها و"
147	اجتراء		جرأ		مصدر	اجترأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								اجتراء-اجتراء [ج ر أ] (مص. اج
148	اجتراع		جرع		مصدر	اجترع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								اجتراع-اجتراع [ج رع] (مص. اج
149	اجتراف		جرف		مصدر	اجترف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اجتراف-اجتراف [ج ر ف] (مص. اجترف). ""اجتراف السيل"": كسحه، اكتساحه."
150	اجتزاز		جزز		مصدر	اجتز		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اجتزاز-اجتزاز [ج ز ز] (مص. اجتز). ""انهمك في اجتزاز الصوف"": قطعه."
151	اجتلاب		جلب		مصدر	اجتلب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اجتلاب-اجتلاب [ج ل ب] (مص. اجتلب). 1.""اجتلاب البضائع"" : است"
152	اجتماع		جم.ع		مصدر	اجتمع		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"اجتماع-اجتماع [ج م. ع] (مص. اجتمع). 1.""عقدت الجمعية اجتماعها الأول"" : لقاء أعضائها للحوار والتداول في جلسة. 2.""وأخيرا تم اجتماع أفراد الأسرة"" : التئامهم. 3.""يدرس علم الاجتماع"" : علم يدرس العلاقات القائمة بين الناس وأنظمتهم وسلوكهم."
153	اجتناب		جنب		مصدر	اجتنب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"اجتناب-اجتناب [ج ن ب] (مص. اجتنب). 1.""اجتناب المعاصي"" : تحاشيها، تجنبها، تلافيها، البعد عنها. 2.""حاول اجتناب شره"": الاحتراز من شره، توقاه."
154	اجتناء		جني		مصدر	اجتنى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"اجتناء-اجتناء [ج ن ي] (مص. اجتنى). ""اجتناء الثمر"" : جنيه، قطفه. . ""يتمتع باجتناء ثمرات عمله""."
155	اجتهاد		جهد		مصدر	اجتهد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"(مص. اجتهد). ""إياد معروف باجتهاده"" : مثابر يبذل مجهودات كثيرة. ""أوصله اجتهاده إلى مكانة مرموقة""."
156	تأجيج		أجج		مصدر	أجج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تأجيج-تأجيج [أ ج ج] (مص. أجج). 1. ""تأجيج نار الحطب"" : إلهابها. 2. ""تأجيج الخصومة بين الناس "": إشعالها، الزيادة في حدتها."
157	إجحاف		جحف		مصدر	أجحف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجحاف-إجحاف [ج ح ف] (مص. أجحف). ""لم نعطه كل م"
158	إجداب		جدب		مصدر	أجدب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجداب-إجداب [ج د ب] (مص. أجدب). ""إجداب ال"
159	إجذام		جذم		مصدر	أجذم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجذام-إجذام [ج ذ م] (مص. أجذم). 1.""إجذام الرجل"" : قطعها. 2.""الإجذام عن الأمر"" : الإقلاع عنه. 3.""الإجذام على أمر"" : العزم عليه."
160	إيجار		أجر		مصدر	آجر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إيجار-إيجار [أ ج ر] (مص. آجر). 1. ""إيجار البيت"" : إكراؤه. 2.""دار برسم الإيجار"" : أي دار معروضة للكراء."
161	تأجير		أجر		مصدر	أجر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تأجير-تأجير [أ ج ر] (مص. أجر). 1.""تأجير الطين"" : طبخه أجرا. 2.""رقم التأجير"" : الرقم المالي لموظفي الدولة."
162	إجراس		جرس		مصدر	أجرس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجراس-إجراس [ج ر س] (مص. أجرس). 1.""إجراس الطائر"": سماع صوت مروره. 2.""إجراس الحلي"" : سماع صوته كصوت جرس."
163	إجرام		جرم		مصدر	أجرم		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"إجرام-إجرام [ج ر م] (مص. أجرم). 1.""لم يكن إجرامه عن سبق إصرار"" : اقتراف إثم"
164	إجراء		جري		مصدر	أجرى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"(مص. أجرى). 1.""اتخذ الضابط إجراء"" : قرارا، تدبيرا. ""اتخذ إجراءات"
165	إجزال		جزل		مصدر	أجزل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجزال-إجزال [ج ز ل] (مص. أجزل). ""الإجزال في العطاء"": الإكثار منه."
166	إجزاء		جزي		مصدر	أجزى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إجزاء-إجزاء [ج ز ي] (مص. أجزى). ""سعى إلى إجزائه"": إلى القيام مقامه."
167	إجفال		جفل		مصدر	أجفل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجفال-إجفال [ج ف ل] (مص. أجفل). ""إجفال البعير"" : نفوره."
168	تأجيل		أجل		مصدر	أجل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تأجيل-تأجيل [أ ج ل] (مص. أجل). 1. "" تم تأجيل المداولات"" : تأخيرها. "" تأجيل جلسة الافتتاح"". 2. ""تأجيل الدعوى"" : إرجاء البت فيها."
169	إجلال		أجل		مصدر	أجل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجلال-إجلال [أ ج ل] (مص. أجل). ""حياه بتقدير وإجلال"": بتعظيم وتبجيل. ""هو أهل للاحترام والإجلال""."
170	إجلاب		جلب		مصدر	أجلب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجلاب-إجلاب [ج ل ب] (مص. أجلب). 1.""لم يتحمل إجلاب الجمهور"" : ضج"
171	إجلاء		جلو		مصدر	أجلى		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"إجلاء-إجلاء [ج ل و] (مص. أجلى). 1.""إجلاء السكان عن ديارهم"" : إخراجهم، طردهم. 2.""إجلاء الجيش"": إجلاؤه. 3.""إجلاء الحقيقة"" : الكشف عنها."
172	إجماع		جمع		مصدر	أجمع		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"إجماع-إجماع [ج م ع] (مص. أجمع). 1.""وافق الأعضاء على المشروع بالإجماع"" : اتفاقهم جميعا. 2.""من أصول التشريع الإسلامي الإجماع"" : هو ما يقصره فقهاء الإسلام على اتفاق المجتهدين في عصر على أمر ديني."
173	إجمال		جمل		مصدر	أجمل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"إجمال-إجمال [ج م ل] (مص. أجمل). 1.""بالإجمال كانت النتائج حسنة"" : بوجه عام، بشكل عام. ""على الإجمال"" ""بوجه الإجمال كانت الحفلة موفقة"". 2.""إجمالا لم يتخلف عن الحضور إلا القليل"" : عموما."
